AT0000606306                     ** B0704T9  ** RIBH.VI
AT0000612601                     ** B067M97  ** ICEL.VI
AT0000642806                     ** 7733967  ** IMEA.VI
AT0000652011                     ** 5289837  ** ERST.VI
AT0000720008                     ** 4635088  ** TELA.VI
AT0000730007                     ** B1WVF68  ** ANDR.VI
AT0000743059                     ** 4651459  ** OMVV.VI
AT0000746409                     ** 4661607  ** VERB.VI
AT0000831706                     ** 5699373  ** WBSV.VI
AT0000908504                     ** B0BKSS2  ** VIGR.VI
AT0000937503                     ** 4943402  ** VOES.VI
BE0003470755                     ** 4821100  ** SOLB.BR
BE0003562700                     ** 4262118  ** DELB.BR
BE0003565737                     ** 4497749  ** KBC.BR
BE0003593044                     ** 4177988  ** COFB.BR
BE0003678894                     ** 4082628  ** BEFB.BR
BE0003717312                     ** 4820301  ** SOF.BR
BE0003735496                     ** 5541979  ** MSTAR.BR
BE0003739530                     ** 5596991  ** UCB.BR
BE0003764785                     ** 5715774  ** ACKB.BR
BE0003775898                     ** 5806225  ** COLR.BR
BE0003780948                     ** 5827431  ** BEKB.BR
BE0003793107                     ** 4755317  ** ABI.BR
BE0003796134                     ** 7147610  ** DEXI.BR
BE0003797140                     ** 7097328  ** GBLB.BR
BE0003801181                     ** 7266139  ** FOR.BR
BE0003810273                     ** B00D9P6  ** BCOM.BR
BE0003845626                     ** B1H4YG5  ** NAT.BR
BE0003884047                     ** 4005001  ** UMI.BR
BMG196F11004                     ** B00LBS7  ** CGL.L
BMG7945E1057                     ** B09RMQ1  ** SDRL.OL
CH0000587979                     ** 4808084  ** SIK.S
CH0002497458                     ** 4824778  ** SGSN.VX
CH0008038389                     ** B083BH4  ** SPSN.S
CH0008742519                     ** 5533976  ** SCMN.VX
CH0010532478                     ** B1YD5Q2  ** ATLN.VX
CH0010570759                     ** 5962309  ** LISN.S
CH0010645932                     ** 5980613  ** GIVN.VX
CH0011037469                     ** 4356646  ** SYNN.VX
CH0011075394                     ** 5983816  ** ZURN.VX
CH0012005267                     ** 7103065  ** NOVN.VX
CH0012032048                     ** 7110388  ** ROG.VX
CH0012138530                     ** 7171589  ** CSGN.VX
CH0012138605                     ** 7110720  ** ADEN.VX
CH0012142631                     ** 7113990  ** CLN.VX
CH0012214059                     ** 7110753  ** HOLN.VX
CH0012221716                     ** 7108899  ** ABBN.VX
CH0012255151                     ** 7184725  ** UHR.VX
CH0012271687                     ** 7189292  ** HELN.S
CH0012280076                     ** 7156832  ** STMN.S
CH0012332372                     ** 7189816  ** RUKN.VX
CH0012410517                     ** 7124594  ** BALN.VX
CH0012549785                     ** 7156036  ** SOON.VX
CH0013841017                     ** 7333378  ** LONN.VX
CH0014786500                     ** 7517893  ** VATN.S
CH0014852781                     ** 7437805  ** SLHN.VX
CH0015536466                     ** 7552571  ** GALN.S
CH0018294154                     ** B012877  ** PSPN.S
CH0021607004                     ** B09G2Y6  ** BKWN.S
CH0021783391                     ** B0CDLF8  ** PARG.S
