16:41:58.146 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 2514447 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CODEMOVE/CODEMOVE/target/CODEMOVE-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CODEMOVE/CODEMOVE)
16:42:00.614 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  310 - AA-W1-BIN-9-12 1
16:42:00.614 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  312 - AA-W1-BIN-S9-12 1
16:42:00.614 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  314 - AA-W1-EDIT-9-4    1
16:42:00.614 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  316 - AA-W1-EDIT-9-4-NB    1
16:42:00.614 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  318 - AA-W1-DISP-9-4 1
16:42:00.614 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  320 - AA-W1-DISP-S9-4 1
16:42:00.615 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  322 - AA-W1-DISP-9-8 1
16:42:00.615 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  324 - AA-W1-DISP-S9-8 1
16:42:00.615 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  326 - AA-W1-DISP-9-12 1
16:42:00.615 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  328 - AA-W1-DISP-S9-12 1
16:42:00.615 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  330 - AA-W1-COMP-3-9-4 1
16:42:00.615 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  332 - AA-W1-COMP-3-S9-4 1
16:42:00.616 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  334 - AA-W1-COMP-3-9-8 1
16:42:00.616 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  336 - AA-W1-COMP-3-S9-8 1
16:42:00.616 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  338 - AA-W1-COMP-3-9-12 1
16:42:00.616 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  340 - AA-W1-COMP-3-S9-12 1
16:42:00.616 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  342 - AA-W1-COMP-3-9-44 100
16:42:00.616 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  344 - AA-W1-COMP-3-S9-44 100
16:42:00.616 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  346 - AA-W1-COMP-3-9-84 100
16:42:00.617 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  348 - AA-W1-COMP-3-S9-84 100
16:42:00.617 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  350 - AA-W1-COMP-3-9-124 100
16:42:00.617 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  352 - AA-W1-COMP-3-S9-124 100
16:42:00.617 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  354 - AA-W1-COMP-9-44 100
16:42:00.617 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  356 - AA-W1-COMP-S9-44 100
16:42:00.617 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  358 - AA-W1-COMP-9-84 100
16:42:00.617 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  360 - AA-W1-COMP-S9-84 100
16:42:00.618 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  362 - AA-W1-COMP-9-124 100
16:42:00.618 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  364 - AA-W1-COMP-S9-124 100
16:42:00.618 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  366 - AA-W1-DISP-9-44 100
16:42:00.618 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  368 - AA-W1-DISP-S9-44 100
16:42:00.618 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  370 - AA-W1-DISP-9-84 100
16:42:00.618 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  372 - AA-W1-DISP-S9-84 100
16:42:00.618 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  374 - AA-W1-DISP-9-124 100
16:42:00.618 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  376 - AA-W1-DISP-S9-124 100
16:42:00.619 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  378 - AA-W1-BIN-9-44 100
16:42:00.619 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  380 - AA-W1-BIN-S9-44 100
16:42:00.619 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  382 - AA-W1-BIN-9-84 100
16:42:00.619 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  384 - AA-W1-BIN-S9-84 100
16:42:00.619 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  386 - AA-W1-BIN-9-124 100
16:42:00.619 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  388 - AA-W1-BIN-S9-124 100
16:42:00.619 [main] INFO  c.c.app.process.impl.CodemoveImpl.process2Split54  915 - ****** AA-W1-COMP-9-8 **********
16:42:00.621 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  290 - AA-W1-COMP-9-4 1
16:42:00.621 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  292 - AA-W1-COMP-S9-4 1
16:42:00.621 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  294 - AA-W1-COMP-9-8 1
16:42:00.621 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  296 - AA-W1-COMP-S9-8 1
16:42:00.621 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  298 - AA-W1-COMP-9-12 1
16:42:00.622 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  300 - AA-W1-COMP-S9-12 1
16:42:00.622 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  302 - AA-W1-BIN-9-4 1
16:42:00.622 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  304 - AA-W1-BIN-S9-4 1
16:42:00.622 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  306 - AA-W1-BIN-9-8 1
16:42:00.622 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  308 - AA-W1-BIN-S9-8 1
16:42:00.622 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  310 - AA-W1-BIN-9-12 1
16:42:00.622 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  312 - AA-W1-BIN-S9-12 1
16:42:00.623 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  314 - AA-W1-EDIT-9-4    1
16:42:00.623 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  316 - AA-W1-EDIT-9-4-NB    1
16:42:00.623 [main] INFO  c.c.app.process.impl.CodemoveImpl.dispAllVars  318 - AA-W1-DISP-9-4 1
