   _____   _                       _   ______                                       
  / ____| | |                     | | |  ____|                                     
 | |      | |   ___    _   _    __| | | |__     _ __    __ _   _ __ ___     ___    
 | |      | |  / _ \  | | | |  / _` | |  __|   | '__|  / _` | | '_ ` _ \   / _ \
 | |____  | | | (_) | | |_| | | (_| | | |      | |    | (_| | | | | | | | |  __/
  \_____| |_|  \___/   \__,_|  \__,_| |_|      |_|     \__,_| |_| |_| |_|  \___|

06:56:49.218 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 3267199 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/vsam/vsammon1/VSAMMON1/target/VSAMMON1-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/vsam/vsammon1/VSAMMON1)
06:56:49.233 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
06:56:52.299 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 165 - CFDataSourceConfiguration initialization status...
06:56:52.301 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 172 - VSAM Datasource initialized. Databse Datasource initialized.
06:56:52.616 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 5.464 seconds (process running for 6.437)
06:56:52.633 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
06:56:52.737 [main] INFO  c.c.app.vsam.VSAMClusterUtil.getClusterInfo 66 - Cluster for DD MONITOR in VSAMMON1 is Optimizer_AutoEdit2022.2/MONITOR 
06:56:52.929 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 109 - HikariPool-1 - Starting...
06:56:53.272 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast 554 - HikariPool-1 - Added connection conn0: url=jdbc:h2:file:./cf-114-db user=SA
06:56:53.274 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 122 - HikariPool-1 - Start completed.
06:56:58.168 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close 349 - HikariPool-1 - Shutdown initiated...
06:56:58.175 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close 351 - HikariPool-1 - Shutdown completed.
